dataset_id	dataset	cluster_id	cell_type
24	Prostate 3	12	Smooth muscle cells
24	Prostate 3	13	Epithelial cells
24	Prostate 3	14	Epithelial cells
24	Prostate 3	15	Monocytes
24	Prostate 3	16	T cells
25	Rectum	0	Epithelial cells
25	Rectum	1	Goblet
25	Rectum	2	Epithelial cells
25	Rectum	3	Epithelial cells
25	Rectum	4	Progenitor cells
25	Rectum	5	Enterocytes
25	Rectum	6	Progenitor cells
25	Rectum	7	Progenitor cells
25	Rectum	8	Epithelial cells
25	Rectum	9	Epithelial cells
25	Rectum	10	Goblet
25	Rectum	11	Epithelial cells
26	Testis	0	Spermatogonia
26	Testis	1	Spermatogonia
26	Testis	2	Spermatogonia
26	Testis	3	Spermatocytes
26	Testis	4	Spermatocytes
26	Testis	5	Leydig and myoid-like cells
26	Testis	6	Leydig and myoid-like cells
26	Testis	7	Spermatocytes
26	Testis	8	Spermatogonia
26	Testis	9	Spermatogonia
26	Testis	10	Spermatogonia
26	Testis	11	Spermatocytes
26	Testis	12	Spermatocytes
26	Testis	13	Sertoli cells
26	Testis	14	Spermatocytes
26	Testis	15	Monocytes
26	Testis	16	Endothelial cells
26	Testis	17	Spermatogonia
26	Testis	18	Epithelial cells
26	Testis	19	Sertoli cells
26	Testis	20	Spermatogonia
27	Testis 2	0	Epithelial cells
27	Testis 2	1	Spermatogonia
27	Testis 2	2	Spermatogonia
27	Testis 2	3	Spermatocytes
27	Testis 2	4	Endothelial cells
27	Testis 2	5	Spermatogonia
27	Testis 2	6	Spermatocytes
27	Testis 2	7	Sertoli cells
27	Testis 2	8	Leydig and myoid-like cells
27	Testis 2	9	Macrophages
27	Testis 2	10	Spermatogonia
27	Testis 2	11	Sertoli cells
27	Testis 2	12	Spermatogonia
27	Testis 2	13	Spermatocytes
27	Testis 2	14	Spermatogonia
27	Testis 2	15	Spermatocytes
27	Testis 2	16	Spermatogonia
28	Testis 3	0	Myofibroblasts
28	Testis 3	1	Spermatogonia
28	Testis 3	2	Myofibroblasts
28	Testis 3	3	Endothelial cells
28	Testis 3	4	Monocytes
28	Testis 3	5	Spermatogonia
28	Testis 3	6	Spermatogonia
28	Testis 3	7	Spermatocytes
28	Testis 3	8	Myofibroblasts
28	Testis 3	9	Sertoli cells
28	Testis 3	10	Myofibroblasts
28	Testis 3	11	Smooth muscle cells
28	Testis 3	12	Endothelial cells
28	Testis 3	13	T cells
